iter	Passed	Remaining
0	828	827743
1	1131	564397
2	1397	464446
3	1729	430525
4	2019	401840
5	2361	391152
6	2590	367536
7	2855	354051
8	3138	345561
9	3456	342193
10	3766	338611
11	4039	332613112	4346	329985
13	4663	328414
14	4935	324099
15	5252	323005
16	5458	315629
17	5779	315296
18	6111	315540
19	6392	313235
20	6680	311438
21	6936	308352
22	7198	305791
23	7527	306129
24	7825	305184
25	8082	302787
26	8354	301067
27	8695	301873
28	8987	300942
29	9246	298968
30	9619	300691
31	9866	298474
32	10159	297706
33	10380	294940
34	10680	294485
35	10899	291873
36	11168	290678
37	11490	290891
38	11808	290965
39	12133	291195
40	12546	293473
41	12803	292039
42	13207	293947
43	13443	292089
44	13761	292044
45	14033	291037
46	14341	290804
47	14599	289556
48	14876	288734
49	15190	288615
50	15464	287764
51	15713	286460
52	15979	285521
53	16247	284632
54	16542	284230
55	16843	283945656	17089	282735757	17349	281775858	17622	281075959	17903	280486060	18180	279866161	18454	279196262	18813	279816363	19063	278806464	19292	277516565	19638	277926666	19944	277736767	20253	277596868	20585	277766969	20848	276987070	21108	276197171	21526	277457272	21849	277467373	22159	277287474	22462	277043
75	22761	276737676	23071	276567777	23328	275757878	23598	275117979	23843	274208080	24128	273756
81	24382	272968282	24636	272188383	24890	271428484	25143	270668585	25443	270418686	25692	269628787	25967	269118888	26271	268918989	26598	268949090	26862	268329191	27088	267359292	27478	267989393	27831	268249
94	28090	267603
95	28372	267175
96	28599	266242
97	28856	265594
98	29142	265225
99	29373	264360
100	29656	263968
101	29960	263767
102	30225	263228
103	30443	2622810104	30688	2615810105	30963	2611410106	31179	2602110107	31509	2602410108	31766	2596610109	32041	2592411110	32365	2592151111	32668	2590141112	32937	2585441113	33244	2583721114	33541	2581221115	33822	2577411116	34159	2577981117	34530	258102
118	34796	2576121119	35072	257197
120	35378	257005
121	35685	256819
122	36014	256782
123	36232	255965
124	36545	255818
125	36783	255148
126	37030	2545412127	37313	2541912128	37588	2537912129	37854	2533313130	38122	2528813131	38447	2528213132	38718	2523913133	38980	2519113134	39276	2516613135	39511	2510113136	39776	2505613137	40150	2507913138	40429	2504313139	40738	2502414140	41022	2499114141	41307	2495914142	41572	2491414143	41894	24903144	42516	250698
145	42829	250523
146	43148	250377
147	43520	250534
148	43863	250521
149	44088	249832
150	44326	249225
151	44610	248880
152	44843	248253
153	45119	247867
15154	45068	24569155	45669	247083
156	45998	246986
157	46299	246734
158	46539	246163
15159	46553	2444016160	46801	2438916161	47100	2436416162	47376	2432716163	47685	243079
164	47916	2424816165	48227	2422916166	48486	2418516167	48736	2413616168	49040	2411316169	49287	24063170	49893	241879
171	50147	241405
172	50437	241108
173	50753	240934
174	51038	240608
175	51362	240470
176	51624	240037
177	51905	239697
178	52174	239303
179	52463	239001
180	52724	238569
181	53029	238339
182	53313	238018
183	53546	237465
184	53861	237282
185	54184	237131
186	54499	236940
187	54818	236770
188	55099	236430
189	55384	236111
190	55648	235703
191	55921	235336
192	56252	235210
193	56624	235254
19194	56569	2335319195	56906	2334319196	57210	23319197	57837	234271
19198	57800	2326519199	58066	2322620200	58325	2318520201	58543	2312720202	58832	23098203	59457	232000
204	59734	231654
205	60011	231308
20206	59935	2296020207	60203	2292320208	60517	2290420209	60759	2285721210	61101	2284721211	61356	2280521212	61652	2277921213	61935	2274821214	62217	2271621215	62486	2268021216	62759	2264521217	63022	2260621218	63329	2258421219	63616	2255522220	63874	2251522221	64122	22471222	64792	225755
223	65095	225509
22224	65054	2240722225	65361	2238422226	65640	2235222227	65966	22335228	66609	224260
229	66956	224157
230	67218	223770
231	67580	223715
232	67814	223235
233	68187	223211
234	68438	222790
235	68763	222607
236	69084	222410
237	69331	221977
238	69634	221723
239	69889	221316
240	70165	220978
241	70421	220575
242	70717	220300
243	71030	220077
244	71279	219656
245	71575	219381
246	71873	219112
24247	71861	2179024248	72229	21784249	72828	218484
250	73104	218148
25251	73109	2170025252	73417	2167625253	73712	2164925254	74021	2162525255	74334	2160325256	74635	2157725257	74881	2153525258	75197	2151425259	75455	2147526260	75777	2145526261	76063	2142526262	76349	2139526263	76710	2138526264	76916	2133326265	77146	2128726266	77423	2125526267	77680	21217268	78285	212738
269	78585	212471
270	78938	212347
271	79254	212121
272	79490	211684
273	79828	211516
274	80108	211194
275	80404	210916
276	80716	210679
277	80983	210324
278	81272	210027
279	81528	209645
280	81937	209654
281	82276	209482
282	82562	209177
283	82788	208719
284	83081	208433
285	83310	207984
286	83657	207831
287	84012	207697
288	84232	207229
289	84506	206894
290	84751	206491
291	85013	206128
292	85271	205757
293	85546	205427
294	85898	205283
295	86215	205053
296	86529	204816
297	86840	204571
298	87090	204182
299	87374	203874
300	87652	203551
301	87934	203239
302	88269	203049
303	88522	202669
304	88811	202373
305	89079	202028
306	89442	201900
307	89713	201563
308	89991	201242
309	90206	200781
310	90436	200357
311	90702	200010
312	91023	199786
313	91319	199506
31314	91278	1984931315	91561	1981831316	91906	1980131317	92172	1976731318	92496	1974631319	92724	1970332320	93079	1968832321	93382	1966232322	93595	1961732323	93940	1959932324	94230	1957132325	94499	1953732326	94795	1950932327	95116	1948732328	95378	1945232329	95623	1941433330	95868	1937633331	96157	1934733332	96444	1931733333	96796	1930133334	97131	1928133335	97344	1923733336	97633	1920833337	97929	19180338	98544	192146
33339	98612	1914234340	98926	19118341	99571	191572
34342	99474	1905334343	99808	1903333344	100061	1899703345	100336	1896543346	100680	189465347	101295	189783
3348	101272	188905349	101880	189205
350	102163	188900
351	102491	188677
352	102786	188393
353	103143	188221
354	103513	188074
355	103821	187812
356	104071	187445
357	104331	187097
358	104569	186709
359	104830	186366
360	105114	186060
361	105437	185826
362	105781	185627
363	106079	185348
364	106347	185015
365	106646	184737
366	106923	184420
367	107225	184148
368	107459	183758
369	107691	183366
370	107982	183074
371	108281	182798
372	108657	182649
373	108957	182372
374	109252	182088
375	109640	181956
376	109945	181686
377	110215	181359
378	110545	181131
379	110815	180803
380	111091	180487
381	111490	180369
382	111775	180066
383	112069	179778
384	112299	179387
385	112528	178996
386	112804	178680
387	113088	178376
388	113393	178106
389	113659	177774
390	113953	177488
391	114253	177209
392	114538	176908
393	114805	176578
394	115207	176456
395	115519	176196
396	115789	175872
397	116040	175519
398	116330	175224
399	116625	174938
400	116910	174636
401	117185	174320
402	117452	173992
403	117730	173681
404	118038	173414
405	118305	173087
406	118601	172803
407	118882	172495
408	119179	172212
409	119489	171948
410	119802	171687
411	120168	171502
412	120439	171182
413	120765	170938
414	121011	170583
415	121277	170255
416	121532	169911
417	121789	169573
418	122073	169270
419	122442	169087
420	122704	168755
421	123056	168546
422	123313	168207
423	123620	167936
424	123921	167659
425	124183	167327
426	124458	167013
427	124840	166843
428	125137	166557
429	125409	166240
